"Acronyms for T1 sequence after contrast ","","Acronyms for T1 sequence before contrast "
"","",""
"T1 GADO","","Ax T1 new1"
"CORO GD","","Ax T1 SE"
"SAG GD","","T1W_SE"
"AX GD","","T1_SE"
"3D T1 BRAVO G","","Ax IR-FSPGR 3D HD 1.2mm"
"Sag CUBE T1","","Sag CUBE T1 FS"
"T1 AX GADO","","Sag CUBE T1 fat sat"
"Ax FSPGR 3D BIOPSIE","","3D T1 SAG FS"
"Sag CUBE T1 HS Gado","","T1 TRA TSE"
"3DGADO NEW","","3D T1 BRAVO"
"CORO T1 GADO","","T1W_SE NEW"
"AX T1 SE gado","","AX T1 SE"
"AX 3D T1 GADO ISO","","SAG T1 FSPGR"
"Recon Sag T1 Gado","","Ax T1 CAI 2 mm"
"Recon Cor T1 Gado","","eT1W_3D_TFE"
"Recon Ax T1 Gado","","T1_SE TRA"
"Sag CUBE T1 Gado","","T1 SPACE SAG"
"Sag CUBE FLAIR GADO Fat Sat","","Ax FSPGR 3D IR HD 1.2mm"
"3D GADO","","Sag CUBE T1 FS F"
"T1_SE TRA GADO","","T1 SAG EG"
"T1 SPACE SAG GADO FS","","Ax FSPGR 3D HD 1.2mm"
"Ax T1 G","","Sag T1 FSPGR"
"Sag CUBE T1 FS GADO","","AXIAL T1 SE"
"3D T1 BRAVO  g","","Ax T1"
"Ax T1 new1 g","","T1 SAG"
"T1 AX MPRAGE Iso Gado_MPR_SAG","","CORO CUBET1"
"T1 AX MPRAGE Iso Gado","","SAG CUBE T1"
"T1 AX MPRAGE Iso Gado_MPR_AX","","AX CUBE T1"
"T1 AX MPRAGE Iso Gado_MPR_COR","","AX 3D T1 MPRAGE FS NEW_MPR_SAG"
"3D gado IR-FSPGR","","AX 3D T1 MPRAGE FS NEW_MPR_CORO"
"AX T1 G","","AX 3D T1 MPRAGE FS NEW_MPR_AXIAL"
"Sag CUBE T1 fat sat G","","AX 3D T1 MPRAGE FS NEW"
"Ax T1 G new1","","SAG T1 G"
"T1 COR GADO","","CORO T1 G"
"T1 TSE SAG CERV GADO","","Ax T1 FSPGR 20s"
"Ax 3D T1 EG Gado Rapide","","CORO T1 FSPGR"
"Sag CUBE T1 Gado","","SAG T1 MPR"
"Ax Reformat T1 FS Gado","","CORO T1 MPR"
"CORO G","","AX 3D T1 TFE CS"
"SAG G","","Ax FSPGR 3D 1.2mm"
"AX G","","T1 AX TSE"
"Ax FSPGR BIOPSIE 1.0 mm","","AX T1 SE CAI"
"Ax T1 gado","","AXIAL T1"
"AX 3D T1 MPRAGE FS GADO_MPR_SAG_","","T1 MPRAGE AX"
"AX 3D T1 MPRAGE FS GADO","","AX T1"
"AX 3D T1 MPRAGE FS GADO_MPR_SAG","","SAG T1"
"AX 3D T1 MPRAGE FS GADO_MPR_CORO","","Ax 3D T1"
"AX 3D T1 MPRAGE FS GADO_MPR_CORO","","COR T1"
"AX 3D T1 MPRAGE FS GADO_MPR_AXIAL","","3D T1 Ax EG"
"AX 3D T1 MPRAGE FS GADO_MPR_AXIAL","","FL:A/SAG T1"
"Ax 3D T1 FSPGR Gado","",""
"Ax T1 FSPGR 20s GADO","",""
"CORO  T1 GADO FAT SAT","",""
"Sag CUBE T1 FS Gado","",""
"AX T1 GADO FAT SAT","",""
"SAG   T1 GADO FAT SAT","",""
"AX 3D T1 TFE CS GADO","",""
"SAG T1 GADO MPR","",""
"CORO T1 GADO MPR","",""
"T1 SPACE SAG GADO FS CAIPI 6 NEW","",""
"3D T1 AX GADO_MPR_Tra","",""
"3D T1 AX GADO_MPR_Cor","",""
"3D T1 AX GADO_MPR_Sag","",""
"3D T1 AX GADO","",""
"AX T1 SE CAI FS G","",""
"Ax FSPGR 3D G fat sat","",""
"AXIAL T1 GADO TARDIF","",""
"T1 3D MPRAGE GADO","",""
"MPR SAG GADO","",""
"MPR AX GADO","",""
"Ax 3D T1 GADO","",""
"AX T1 MPRAGE 3D GADO_MPR_Cor","",""
"MPR COR GADO","",""
"AX T1 MPRAGE 3D GADO","",""
"AX T1 MPRAGE 3D GADO_MPR_Tra","",""
"AX T1 MPRAGE 3D GADO_MPR_Sag","",""
"3D T1 BRAVO gd","",""
"3D T1 BRAVO G","",""
"Ax T1 new1 G","",""
"AX T1 FS GADO CPES FINES 2mm","",""
"T1W_SE GADO","",""
"3D T1 GADO","",""
"AX 3D EG T1 GADO","",""
"AX T1 GADO","",""
"SAG T1 GADO","",""
